Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC49597,1,ZnO,nanoparticle,,,,,,,,,
ATC49597,2,ZnO,nanoparticle,,,,,,,,,
ATC49597,3,ZnO,nanoparticle,,,,,,,,,
ATC49602,0,Au,nanoparticle,,,,,,,,,
ATC49604,2,ZnO,nanoparticle,,,,,,,,,
ATC49604,3,ZnO,nanoparticle,,,,,,,,,
ATC49607,0,Fe2O3,nanoparticle,,,,,,,,,
ATC49607,1,TiO2,nanoparticle,,,,,,,,,
ATC49608,0,Ag,nanoparticle,,,,,,,,,
ATC49611,0,CuO,nanoparticle,,Escherichia coli,,,,,,,
ATC49613,0,Ag,nanoparticle,0.00000001,Escherichia coli,,,,,,,
ATC49613,1,Ag,nanoparticle,0.00000001,Acinetobacter baumannii,,,,,,,
ATC49627,0,Ag,nanoparticle,,,,,,,,,
ATC49632,0,ZnO,nanoparticle,,,,,,,,,
ATC49632,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC49632,2,ZnO,nanoparticle,,Porphyromonas gingivalis,,,,,,,
ATC49632,3,ZnO,nanoparticle,,Staphylococcus epidermidis,,,,,,,
ATC49635,0,Ag,nanoparticle,0.000000011,Bacillus cereus,,0.05,,,,,
ATC49635,1,Ag,nanoparticle,0.000000011,,,,,,,,
ATC49635,2,Ag,nanoparticle,0.000000011,Bacillus licheniformis,,,,,,,
ATC49635,3,Ag,nanoparticle,0.000000011,Escherichia coli,,,,,,,
ATC49635,4,Ag,nanoparticle,0.000000011,Pseudomonas aeruginosa,,,,,,,
ATC49635,5,Ag,nanoparticle,0.000000011,Pseudomonas citronellolis,,,,,,,
ATC49635,6,Ag,nanoparticle,0.000000011,Staphylococcus haemolyticus,,,,,,,
ATC49637,0,Au,nanoparticle,,,,,,,,,
ATC49644,0,Ag,nanoparticle,,Fusarium oxysporum,,,,,,,
ATC49645,0,ZrO2,nanoparticle,,Escherichia coli,,,,,,,
ATC49648,0,TiO2,nanoparticle,,,,,,,,,
ATC49655,0,Ag,nanoparticle,,,,,,,,,
ATC49656,0,ZnO,nanoparticle,,,,,,,,,
ATC49663,0,Cu,nanoparticle,,Escherichia coli,,,,,,,
ATC49663,1,Cu,nanoparticle,,Phaeodactylum tricornutum,,,,,,,
ATC49691,0,Au,nanoparticle,,,,,,,,,
ATC49692,0,Au,nanoparticle,,,,,,,,,
ATC49692,1,Au,nanoparticle,,,,,,,,,
ATC49703,0,SiO2,nanoparticle,,,,,,,,,
ATC49704,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49727,0,Ag,nanoparticle,,,,,,,,,
ATC49727,1,Ag,nanoparticle,,,,,,,,,
ATC49730,0,Ag,nanoparticle,,,,,,,,,
ATC49740,0,ZnO,nanoparticle,0.00000005,,,,,,,66.27,
ATC49740,1,ZnO,nanoparticle,0.00000005,,,,,,,66.27,
ATC49740,2,ZnO,nanoparticle,0.00000005,,,,,,,66.27,
ATC49740,3,ZnO,nanoparticle,0.00000005,,,,,,,66.27,
ATC49751,0,Au,nanoparticle,,,,,,,,,
ATC49765,0,Ag,nanoparticle,,,,,,,,,
ATC49765,1,Ag,nanoparticle,,,,,,,,,
ATC49765,2,Ag,nanoparticle,,,,,,,,,
ATC49766,0,Cu,nanoparticle,,,,,,,,,
ATC49766,1,Cu,nanoparticle,,,,,,,,,
ATC49775,0,TiO2,nanoparticle,,,,,,,,,
ATC49775,1,TiO2,nanoparticle,,,,,,,,,
