,article_doi,Publication Year
ATC014646,doi:10.1016/j.talanta.2020.120842,2020
ATC014647,doi:10.1016/j.bios.2013.07.004,2013
ATC014648,doi:10.1016/j.apt.2015.07.001,2015
ATC014649,doi:10.1016/j.jhazmat.2019.121983,2020
ATC014650,doi:10.1016/j.micpath.2022.105530,2022
ATC014651,doi:10.1016/j.scitotenv.2021.147464,2021
ATC014652,doi:10.1016/j.msec.2013.12.015,2014
ATC014653,doi:10.1016/S0968-0896(02)00610-7,2003
ATC014654,doi:10.1016/j.nimb.2007.08.095,2007
ATC014655,doi:10.1016/j.inoche.2022.109779,2022
ATC014656,doi:10.1016/j.mtla.2018.100197,2019
ATC014657,doi:10.1016/j.jare.2015.10.002,2016
ATC014658,doi:10.1016/j.colsurfb.2020.111143,2020
ATC014659,doi:10.1016/j.msec.2018.08.029,2018
ATC014660,doi:10.1016/j.carbpol.2020.116862,2020
ATC014661,doi:10.1016/j.colsurfb.2021.111856,2021
ATC014662,doi:10.1016/j.rinp.2023.106446,2023
ATC014663,doi:10.1016/j.fsi.2014.09.014,2014
ATC014664,doi:10.1016/j.jphotobiol.2018.07.027,2018
ATC014665,doi:10.1016/j.carbpol.2022.119634,2022
ATC014666,doi:10.1016/j.psep.2021.07.037,2021
ATC014667,doi:10.1016/j.jphotobiol.2020.111841,2020
ATC014668,doi:10.1016/j.jece.2020.104716,2021
ATC014669,doi:10.1016/j.ceramint.2015.06.132,2015
ATC014670,doi:10.1016/j.ibiod.2020.104909,2020
ATC014671,doi:10.1016/j.colsurfb.2012.10.050,2013
ATC014672,doi:10.1016/j.biortech.2016.11.051,2017
ATC014673,doi:10.1016/j.biortech.2014.09.079,2015
ATC014674,doi:10.1016/j.ecoenv.2019.109554,2019
ATC014675,doi:10.1016/j.saa.2014.03.066,2014
ATC014676,doi:10.1016/j.clay.2013.08.014,2013
ATC014677,doi:10.1016/j.colsurfb.2022.113092,2023
ATC014678,doi:10.1016/j.inoche.2020.108381,2021
ATC014679,doi:10.1016/j.ijbiomac.2024.130898,2024
ATC014680,doi:10.1016/j.jpcs.2020.109382,2020
ATC014681,doi:10.1016/j.mtchem.2024.101948,2024
ATC014682,doi:10.1016/j.jece.2023.109977,2023
ATC014683,doi:10.1016/j.jcis.2022.10.080,2023
ATC014684,doi:10.1016/j.mtcomm.2017.03.005,2017
ATC014685,doi:10.1016/j.matchemphys.2023.127543,2023
ATC014686,doi:10.1016/j.mimet.2023.106858,2024
ATC014687,doi:10.1016/j.procbio.2018.01.015,2018
ATC014688,doi:10.1016/j.jddst.2022.104054,2023
ATC014689,doi:10.1016/j.aca.2015.04.044,2015
ATC014690,doi:10.1016/j.carbpol.2010.09.026,2011
ATC014691,doi:10.1016/j.jcis.2011.01.044,2011
ATC014692,doi:10.1016/j.aquatox.2017.05.002,2017
ATC014693,doi:10.1016/S0167-4889(99)00015-4,1999
ATC014694,doi:10.1016/j.foodhyd.2020.106116,2020
ATC014695,doi:10.1016/j.scitotenv.2024.171675,2024
ATC014696,doi:10.1016/j.cherd.2018.09.041,2018
ATC014697,doi:10.1016/j.sajb.2023.10.059,2023
ATC014698,doi:10.1016/j.ijbiomac.2013.09.011,2013
ATC014699,doi:10.1016/j.ica.2013.09.038,2014
ATC014700,doi:10.1016/j.jallcom.2008.05.063,2009
ATC014701,doi:10.1016/j.cej.2021.128805,2021
ATC014702,doi:10.1016/j.msec.2017.07.016,2017
ATC014703,doi:10.1016/j.molimm.2021.03.028,2021
ATC014704,doi:10.1016/j.ecoenv.2012.10.024,2013
ATC014705,doi:10.1016/j.bbamem.2012.01.020,2012
ATC014706,doi:10.1016/j.carbpol.2012.08.098,2013
ATC014707,doi:10.1016/j.talanta.2008.10.025,2009
ATC014708,doi:10.1016/j.msec.2017.05.020,2017
ATC014709,doi:10.1016/j.snb.2023.133318,2023
ATC014710,doi:10.1016/j.jddst.2019.101308,2019
ATC014711,doi:10.1016/j.biomaterials.2014.02.056,2014
ATC014712,doi:10.1016/j.colsurfa.2021.127093,2021
ATC014713,doi:10.1016/j.micpath.2017.11.038,2018
ATC014714,doi:10.1016/j.foodchem.2024.138564,2024
ATC014715,doi:10.1016/j.ijbiomac.2023.123356,2023
ATC014716,doi:10.1016/j.ijbiomac.2013.10.045,2014
ATC014717,doi:10.1016/j.jff.2019.103454,2019
ATC014718,doi:10.1016/j.carbpol.2020.116254,2020
ATC014719,doi:10.1016/j.aquatox.2016.02.015,2016
ATC014720,doi:10.1016/j.ijbiomac.2024.130096,2024
ATC014721,doi:10.1016/j.surfin.2023.102835,2023
ATC014722,doi:10.1016/j.jhazmat.2021.125321,2021
ATC014723,doi:10.1016/j.colcom.2022.100586,2022
ATC014724,doi:10.1016/j.sjbs.2020.11.034,2021
ATC014725,doi:10.1016/j.cej.2022.134747,2022
ATC014726,doi:10.1016/j.ijbiomac.2021.08.040,2021
ATC014727,doi:10.1016/j.scitotenv.2022.159567,2023
ATC014728,doi:10.1016/j.cplett.2020.138216,2021
ATC014729,doi:10.1016/j.partic.2019.04.007,2020
ATC014730,doi:10.1016/j.tvjl.2010.11.019,2012
ATC014731,doi:10.1016/j.colsurfb.2019.05.007,2019
ATC014732,doi:10.1016/j.electacta.2011.08.036,2012
ATC014733,doi:10.1016/j.procbio.2020.05.003,2020
ATC014734,doi:10.1016/j.ijbiomac.2018.01.012,2018
ATC014735,doi:10.1016/j.tsf.2010.12.155,2011
ATC014736,doi:10.1016/j.microc.2023.109492,2023
ATC014737,doi:10.1016/j.ab.2013.04.032,2013
ATC014738,doi:10.1016/j.carbpol.2012.07.030,2012
ATC014739,doi:10.1016/j.powtec.2014.12.053,2015
ATC014740,doi:10.1016/j.inoche.2023.111113,2023
ATC014741,doi:10.1016/j.jiec.2016.01.038,2016
ATC014742,doi:10.1016/j.jcis.2013.06.016,2013
ATC014743,doi:10.1016/j.colcom.2020.100320,2020
ATC014744,doi:10.1016/j.aquatox.2020.105498,2020
ATC014745,doi:10.1016/j.carbpol.2013.07.065,2013
ATC014746,doi:10.1016/j.ejpb.2020.04.010,2020
ATC014747,doi:10.1016/j.microc.2019.104313,2020
ATC014748,doi:10.1016/j.apsadv.2023.100377,2023
ATC014749,doi:10.1016/j.msec.2017.12.034,2018
ATC014750,doi:10.1016/j.powtec.2011.12.032,2012
ATC014751,doi:10.1016/j.msec.2017.08.037,2017
ATC014752,doi:10.1016/j.carbpol.2013.10.069,2014
ATC014753,doi:10.1016/j.envres.2020.110020,2020
ATC014754,doi:10.1016/j.foodcont.2022.109492,2023
ATC014755,doi:10.1016/j.mssp.2024.108152,2024
ATC014756,doi:10.1016/j.apsusc.2014.02.059,2014
ATC014757,doi:10.1016/j.lwt.2024.116151,2024
ATC014758,doi:10.1016/j.jksus.2019.10.017,2020
ATC014759,doi:10.1016/j.jhazmat.2011.06.081,2011
ATC014760,doi:10.1016/j.jmmm.2016.05.061,2016
ATC014761,doi:10.1016/j.jphotobiol.2018.05.009,2018
ATC014762,doi:10.1016/j.scitotenv.2021.145669,2021
ATC014763,doi:10.1016/j.colsurfb.2012.01.046,2012
ATC014764,doi:10.1016/j.indcrop.2023.117042,2023
ATC014765,doi:10.1016/j.bios.2019.111896,2020
ATC014766,doi:10.1016/j.jelechem.2021.115755,2021
ATC014767,doi:10.1016/j.susmat.2022.e00433,2022
ATC014768,doi:10.1016/j.biomaterials.2013.12.060,2014
ATC014769,doi:10.1016/j.eurpolymj.2019.109257,2019
ATC014770,doi:10.1016/j.colsurfb.2023.113512,2023
ATC014771,doi:10.1016/j.aquatox.2010.08.013,2011
ATC014772,doi:10.1016/j.talanta.2013.09.017,2013
ATC014773,doi:10.1016/j.colsurfa.2022.129708,2022
ATC014774,doi:10.1016/j.nano.2008.03.004,2008
ATC014775,doi:10.1016/j.msec.2018.12.005,2019
ATC014776,doi:10.1016/j.scitotenv.2016.10.017,2017
ATC014777,doi:10.1016/j.inoche.2023.111081,2023
ATC014778,doi:10.1016/j.mssp.2019.05.007,2019
ATC014779,doi:10.1016/j.saa.2015.04.073,2015
ATC014780,doi:10.1016/j.ijbiomac.2021.02.125,2021
ATC014781,doi:10.1016/j.chemosphere.2021.131731,2022
ATC014782,doi:10.1016/j.jfoodeng.2015.06.010,2015
ATC014783,doi:10.1016/j.aca.2019.01.035,2019
ATC014784,doi:10.1016/j.carbpol.2009.12.028,2010
ATC014785,doi:10.1016/j.jhazmat.2021.125516,2021
ATC014786,doi:10.1016/j.jphotobiol.2022.112540,2022
ATC014787,doi:10.1016/j.carbpol.2017.01.014,2017
ATC014788,doi:10.1016/j.msec.2021.112290,2021
ATC014789,doi:10.1016/j.watres.2016.12.037,2017
ATC014790,doi:10.1016/j.ijpharm.2021.120695,2021
ATC014791,doi:10.1016/j.jphotobiol.2018.04.002,2018
ATC014792,doi:10.1016/j.aquatox.2018.04.018,2018
ATC014793,doi:10.1016/j.fbio.2021.101151,2021
ATC014794,doi:10.1016/j.aquatox.2017.07.016,2017
ATC014795,doi:10.1016/j.ijbiomac.2019.03.008,2019
ATC014796,doi:10.1016/j.bbamem.2019.03.011,2019
ATC014797,doi:10.1016/j.snb.2016.03.105,2016
ATC014798,doi:10.1016/j.cej.2021.134103,2022
ATC014799,doi:10.1016/j.jphotobiol.2016.01.018,2016
ATC014800,doi:10.1016/j.bios.2016.09.040,2017
ATC014801,doi:10.1016/j.apsusc.2015.03.037,2015
ATC014802,doi:10.1016/j.desal.2013.05.021,2013
ATC014803,doi:10.1016/j.bios.2014.07.038,2015
ATC014804,doi:10.1016/j.ejmech.2007.06.014,2008
ATC014805,doi:10.1016/j.jare.2016.10.002,2016
ATC014806,doi:10.1016/j.colsurfb.2017.11.019,2018
ATC014807,doi:10.1016/j.impact.2016.04.003,2016
ATC014808,doi:10.1016/j.jhazmat.2022.128361,2022
ATC014809,doi:10.1016/j.arabjc.2021.103232,2021
ATC014810,doi:10.1016/j.scitotenv.2023.166064,2023
ATC014811,doi:10.1016/j.scitotenv.2016.12.093,2017
ATC014812,doi:10.1016/j.envpol.2011.08.024,2011
ATC014813,doi:10.1016/j.apcatb.2011.06.020,2011
ATC014814,doi:10.1016/j.colsurfb.2019.06.013,2019
ATC014815,doi:10.1016/j.aquatox.2023.106550,2023
ATC014816,doi:10.1016/j.bioadv.2023.213581,2023
ATC014817,doi:10.1016/j.ijbiomac.2020.08.102,2020
ATC014818,doi:10.1016/j.lwt.2017.08.068,2018
ATC014819,doi:10.1016/j.saa.2021.120814,2022
ATC014820,doi:10.1016/j.porgcoat.2019.105395,2020
ATC014821,doi:10.1016/j.biortech.2012.08.071,2012
ATC014822,doi:10.1016/j.msec.2018.11.009,2019
ATC014823,doi:10.1016/j.jfoodeng.2015.09.017,2016
ATC014824,doi:10.1016/j.jfoodeng.2023.111635,2023
ATC014825,doi:10.1016/j.jprot.2011.12.004,2012
ATC014826,doi:10.1016/j.heliyon.2020.e04603,2020
ATC014827,doi:10.1016/j.eurpolymj.2018.07.044,2018
ATC014828,doi:10.1016/j.jscs.2023.101713,2023
ATC014829,doi:10.1016/j.molliq.2022.120754,2022
ATC014830,doi:10.1016/j.molstruc.2021.131489,2022
ATC014831,doi:10.1016/j.chemosphere.2021.129589,2021
ATC014832,doi:10.1016/j.seppur.2022.120999,2022
ATC014833,doi:10.1016/j.envres.2023.117541,2024
ATC014834,doi:10.1016/j.inoche.2024.112202,2024
ATC014835,doi:10.1016/j.bioadv.2022.213015,2022
ATC014836,doi:10.1016/j.msec.2020.110710,2020
ATC014837,doi:10.1016/j.colsurfb.2018.07.055,2018
ATC014838,doi:10.1016/j.mtcomm.2022.104112,2022
ATC014839,doi:10.1016/j.yexcr.2018.11.020,2019
ATC014840,doi:10.1016/j.molstruc.2016.01.060,2016
ATC014841,doi:10.1016/j.jphotobiol.2015.11.004,2016
ATC014842,doi:10.1016/j.ijbiomac.2024.129827,2024
ATC014843,doi:10.1016/j.biortech.2021.124689,2021
ATC014844,doi:10.1016/j.bej.2016.10.020,2017
ATC014845,doi:10.1016/j.carbpol.2018.11.023,2019
ATC014846,doi:10.1016/j.snb.2022.131946,2022
ATC014847,doi:10.1016/j.eurpolymj.2024.112970,2024
ATC014848,doi:10.1016/j.indcrop.2023.117954,2024
ATC014849,doi:10.1016/j.jprot.2015.07.018,2016
ATC014850,doi:10.1016/j.porgcoat.2018.11.002,2019
ATC014851,doi:10.1016/j.jcis.2010.01.034,2010
ATC014852,doi:10.1016/j.foodchem.2020.127616,2021
ATC014853,doi:10.1016/j.colsurfa.2019.124141,2020
ATC014854,doi:10.1016/j.chemosphere.2021.133362,2022
ATC014855,doi:10.1016/j.mtcomm.2022.104347,2022
ATC014856,doi:10.1016/j.jclepro.2019.01.232,2019
ATC014857,doi:10.1016/j.tiv.2012.04.019,2012
ATC014858,doi:10.1016/j.jece.2024.111912,2024
ATC014859,doi:10.1016/j.ecoenv.2017.06.008,2017
ATC014860,doi:10.1016/j.colsurfb.2014.12.049,2015
ATC014861,doi:10.1016/j.jece.2022.108738,2022
ATC014862,doi:10.1016/j.mee.2013.10.020,2014
ATC014863,doi:10.1016/j.bcab.2022.102425,2022
ATC014864,doi:10.1016/j.jece.2020.104137,2020
ATC014865,doi:10.1016/j.microc.2023.109680,2024
ATC014866,doi:10.1016/j.cej.2018.04.123,2018
ATC014867,doi:10.1016/j.watres.2018.08.030,2018
ATC014868,doi:10.1016/j.ceramint.2021.03.289,2021
ATC014869,doi:10.1016/j.chemosphere.2021.132696,2022
ATC014870,doi:10.1016/j.msec.2019.109862,2019
ATC014871,doi:10.1016/j.carbpol.2020.117058,2021
ATC014872,doi:10.1016/j.watres.2018.03.027,2018
ATC014873,doi:10.1016/j.molstruc.2021.131361,2022
ATC014874,doi:10.1016/j.snb.2015.12.046,2016
ATC014875,doi:10.1016/j.jksus.2022.101931,2022
ATC014876,doi:10.1016/j.msec.2020.111777,2021
ATC014877,doi:10.1016/j.foodchem.2020.126673,2020
ATC014878,doi:10.1016/j.carbpol.2018.06.046,2018
ATC014879,doi:10.1016/j.saa.2011.11.001,2012
ATC014880,doi:10.1016/j.jpcs.2018.11.020,2019
ATC014881,doi:10.1016/j.desal.2021.115109,2021
ATC014882,doi:10.1016/j.inoche.2023.111425,2023
ATC014883,doi:10.1016/j.jfoodeng.2012.07.017,2012
ATC014884,doi:10.1016/j.apt.2016.03.014,2016
ATC014885,doi:10.1016/j.colsurfa.2023.132803,2024
ATC014886,doi:10.1016/j.talanta.2018.09.027,2019
ATC014887,doi:10.1016/j.ijbiomac.2023.129033,2024
ATC014888,doi:10.1016/j.matchemphys.2022.125709,2022
ATC014889,doi:10.1016/j.cej.2020.128224,2021
ATC014890,doi:10.1016/j.ygcen.2006.06.009,2006
ATC014891,doi:10.1016/j.chemosphere.2015.10.066,2016
ATC014892,doi:10.1016/j.jiec.2021.05.050,2021
ATC014893,doi:10.1016/j.jphotobiol.2019.111629,2019
ATC014894,doi:10.1016/j.envpol.2017.02.044,2017
ATC014895,doi:10.1016/j.carbpol.2020.117040,2021
ATC014896,doi:10.1016/j.arabjc.2022.104388,2023
ATC014897,doi:10.1016/j.crfs.2022.04.006,2022
ATC014898,doi:10.1016/j.reactfunctpolym.2020.104494,2020
ATC014899,doi:10.1016/j.jwpe.2023.104256,2023
ATC014900,doi:10.1016/j.msec.2015.01.076,2015
ATC014901,doi:10.1016/j.ultsonch.2016.08.027,2017
ATC014902,doi:10.1016/j.apmt.2021.100947,2021
ATC014903,doi:10.1016/j.bios.2018.03.014,2018
ATC014904,doi:10.1016/j.mtcomm.2022.103478,2022
ATC014905,doi:10.1016/j.jhazmat.2019.121224,2020
ATC014906,doi:10.1016/j.aquatox.2015.08.010,2016
ATC014907,doi:10.1016/j.seppur.2021.119185,2021
ATC014908,doi:10.1016/j.ijpharm.2020.119930,2020
ATC014909,doi:10.1016/j.chemosphere.2013.08.096,2013
ATC014910,doi:10.1016/j.jddst.2022.103191,2022
ATC014911,doi:10.1016/j.matlet.2017.08.030,2017
ATC014912,doi:10.1016/j.watres.2012.11.058,2013
ATC014913,doi:10.1016/j.matdes.2017.11.018,2018
ATC014914,doi:10.1016/j.actbio.2017.10.008,2017
ATC014915,doi:10.1016/j.scitotenv.2021.151468,2022
ATC014916,doi:10.1016/j.lfs.2019.05.072,2019
ATC014917,doi:10.1016/j.ijpharm.2016.09.060,2016
ATC014918,doi:10.1016/j.jphotochem.2011.10.017,2012
ATC014919,doi:10.1016/j.apsusc.2022.153195,2022
ATC014920,doi:10.1016/j.fct.2023.114058,2023
ATC014921,doi:10.1016/j.sjbs.2021.11.039,2022
ATC014922,doi:10.1016/j.jcis.2021.10.132,2022
ATC014923,doi:10.1016/j.lwt.2020.109642,2020
ATC014924,doi:10.1016/j.chemosphere.2020.126419,2020
ATC014925,doi:10.1016/j.aquatox.2014.10.005,2014
ATC014926,doi:10.1016/j.scitotenv.2024.173641,2024
ATC014927,doi:10.1016/j.jece.2020.103891,2020
ATC014928,doi:10.1016/j.ijpharm.2023.123047,2023
ATC014929,doi:10.1016/j.ijbiomac.2024.131181,2024
ATC014930,doi:10.1016/j.jphotochem.2021.113464,2021
ATC014931,doi:10.1016/j.surfin.2023.102710,2023
ATC014932,doi:10.1016/j.mtbio.2021.100131,2021
ATC014933,doi:10.1016/j.micpath.2016.01.014,2016
ATC014934,doi:10.1016/j.ijbiomac.2023.126692,2023
ATC014935,doi:10.1016/S0016-7037(03)00488-5,2004
ATC014936,doi:10.1016/j.ijpharm.2013.02.011,2013
ATC014937,doi:10.1016/j.ecoenv.2018.10.113,2019
ATC014938,doi:10.1016/j.enzmictec.2016.08.012,2016
ATC014939,doi:10.1016/j.colsurfa.2021.127010,2021
ATC014940,doi:10.1016/j.eurpolymj.2014.09.004,2014
ATC014941,doi:10.1016/j.ijbiomac.2020.08.059,2020
ATC014942,doi:10.1016/j.bej.2023.108818,2023
ATC014943,doi:10.1016/j.plaphy.2012.06.009,2012
ATC014944,doi:10.1016/j.clay.2014.03.007,2014
ATC014945,doi:10.1016/j.bmc.2012.04.031,2012
ATC014946,doi:10.1016/j.mtcomm.2021.103063,2022
ATC014947,doi:10.1016/j.molliq.2023.122412,2023
ATC014948,doi:10.1016/j.colsurfb.2012.09.011,2013
ATC014949,doi:10.1016/j.jece.2017.11.025,2018
ATC014950,doi:10.1016/j.supflu.2020.104842,2020
ATC014951,doi:10.1016/j.heliyon.2019.e01608,2019
ATC014952,doi:10.1016/j.matchemphys.2016.05.026,2016
ATC014953,doi:10.1016/j.apsusc.2010.07.084,2010
ATC014954,doi:10.1016/j.genrep.2022.101515,2022
ATC014955,doi:10.1016/j.ultsonch.2016.06.019,2017
ATC014956,doi:10.1016/j.jiec.2022.03.025,2022
ATC014957,doi:10.1016/j.envpol.2014.10.009,2015
ATC014958,doi:10.1016/j.carbpol.2018.08.087,2018
ATC014959,doi:10.1016/j.bioorg.2018.10.072,2019
ATC014960,doi:10.1016/j.scitotenv.2018.01.180,2018
ATC014961,doi:10.1016/j.carbpol.2010.08.070,2011
ATC014962,doi:10.1016/j.msec.2019.109893,2019
ATC014963,doi:10.1016/j.colsurfa.2024.134305,2024
ATC014964,doi:10.1016/j.ijbiomac.2023.127862,2024
ATC014965,doi:10.1016/j.ijpharm.2024.124274,2024
ATC014966,doi:10.1016/j.carbon.2022.10.067,2023
ATC014967,doi:10.1016/j.ab.2018.07.003,2018
ATC014968,doi:10.1016/j.aquaculture.2016.07.005,2016
ATC014969,doi:10.1016/j.chphi.2023.100279,2023
ATC014970,doi:10.1016/j.actbio.2018.07.030,2018
ATC014971,doi:10.1016/j.jcis.2014.03.038,2014
ATC014972,doi:10.1016/j.scitotenv.2022.160561,2023
ATC014973,doi:10.1016/j.talanta.2016.10.050,2017
ATC014974,doi:10.1016/j.matchar.2017.04.019,2017
ATC014975,doi:10.1016/j.lwt.2024.115953,2024
ATC014976,doi:10.1016/j.aquatox.2023.106495,2023
ATC014977,doi:10.1016/j.ijpharm.2017.04.082,2017
ATC014978,doi:10.1016/j.aquatox.2011.08.020,2011
ATC014979,doi:10.1016/j.lwt.2022.113289,2022
ATC014980,doi:10.1016/j.mtcomm.2021.102642,2021
ATC014981,doi:10.1016/j.colsurfb.2013.01.073,2013
ATC014982,doi:10.1016/j.fsi.2018.10.053,2019
ATC014983,doi:10.1016/j.msec.2021.112537,2021
ATC014984,doi:10.1016/j.envpol.2022.120834,2023
ATC014985,doi:10.1016/j.jphotochem.2016.05.016,2016
ATC014986,doi:10.1016/j.cej.2024.151291,2024
ATC014987,doi:10.1016/j.ijpharm.2021.120874,2021
ATC014988,doi:10.1016/j.anifeedsci.2023.115764,2023
ATC014989,doi:10.1016/j.micpath.2019.02.013,2019
ATC014990,doi:10.1016/j.fct.2019.110962,2020
ATC014991,doi:10.1016/j.jhazmat.2014.05.011,2014
ATC014992,doi:10.1016/j.ijbiomac.2020.09.126,2020
ATC014993,doi:10.1016/j.powtec.2012.12.024,2013
ATC014994,doi:10.1016/j.ceramint.2020.11.220,2021
ATC014995,doi:10.1016/j.colsurfb.2020.111178,2020
ATC014996,doi:10.1016/S0378-1119(99)00398-4,1999
ATC014997,doi:10.1016/j.heliyon.2022.e11704,2022
ATC014998,doi:10.1016/j.carbpol.2019.115260,2020
ATC014999,doi:10.1016/j.ijleo.2016.05.142,2016
ATC015000,doi:10.1016/j.saa.2021.119831,2021
ATC015001,doi:10.1016/j.jtice.2015.05.017,2015
ATC015002,doi:10.1016/j.ijhydene.2020.03.177,2020
ATC015003,doi:10.1016/j.scitotenv.2021.147989,2021
ATC015004,doi:10.1016/j.polymer.2011.11.036,2012
ATC015005,doi:10.1016/j.carbpol.2015.07.019,2015
ATC015006,doi:10.1016/j.ibiod.2022.105407,2022
ATC015007,doi:10.1016/j.jphotobiol.2015.05.015,2015
ATC015008,doi:10.1016/j.carbpol.2017.01.020,2017
ATC015009,doi:10.1016/j.jddst.2023.104373,2023
ATC015010,doi:10.1016/j.ijbiomac.2016.02.024,2016
ATC015011,doi:10.1016/j.indcrop.2022.115442,2022
ATC015012,doi:10.1016/j.jmrt.2021.03.004,2021
ATC015013,doi:10.1016/j.msec.2014.11.066,2015
ATC015014,doi:10.1016/j.burns.2014.07.014,2015
ATC015015,doi:10.1016/j.arabjc.2020.10.006,2020
ATC015016,doi:10.1016/j.watres.2018.03.062,2018
ATC015017,doi:10.1016/j.jcis.2021.09.053,2022
ATC015018,doi:10.1016/j.virol.2022.11.013,2023
ATC015019,doi:10.1016/j.molstruc.2021.131327,2022
ATC015020,doi:10.1016/j.molstruc.2012.12.055,2013
ATC015021,doi:10.1016/j.redox.2020.101620,2020
ATC015022,doi:10.1016/j.jeurceramsoc.2007.01.004,2007
ATC015023,doi:10.1016/j.ymeth.2019.04.005,2019
ATC015024,doi:10.1016/j.desal.2022.115993,2022
ATC015025,doi:10.1016/j.jhazmat.2023.131675,2023
ATC015026,doi:10.1016/j.envpol.2018.07.084,2018
ATC015027,doi:10.1016/j.scitotenv.2019.134817,2020
ATC015028,doi:10.1016/j.nanoen.2018.02.008,2018
ATC015029,doi:10.1016/j.chemosphere.2017.10.138,2018
ATC015030,doi:10.1016/j.fsirep.2022.100078,2023
ATC015031,doi:10.1016/j.biosystemseng.2021.11.003,2021
ATC015032,doi:10.1016/j.foodchem.2020.127131,2020
ATC015033,doi:10.1016/j.carbpol.2018.08.083,2018
ATC015034,doi:10.1016/j.ijpharm.2023.123083,2023
ATC015035,doi:10.1016/j.aquatox.2010.11.002,2011
ATC015036,doi:10.1016/j.cbpc.2013.09.008,2014
ATC015037,doi:10.1016/j.carbpol.2020.115928,2020
ATC015038,doi:10.1016/j.impact.2019.100195,2020
ATC015039,doi:10.1016/j.colsurfb.2017.12.038,2018
ATC015040,doi:10.1016/j.fpsl.2021.100738,2021
ATC015041,doi:10.1016/j.jssc.2020.121296,2020
ATC015042,doi:10.1016/j.ijpharm.2020.119658,2020
ATC015043,doi:10.1016/j.carbpol.2019.115108,2019
ATC015044,doi:10.1016/j.carbpol.2011.12.005,2012
ATC015045,doi:10.1016/j.matlet.2016.03.106,2016
ATC015046,doi:10.1016/j.bios.2015.07.031,2016
ATC015047,doi:10.1016/j.memsci.2015.09.060,2016
ATC015048,doi:10.1016/j.apsusc.2020.146318,2020
ATC015049,doi:10.1016/j.matlet.2014.03.134,2014
ATC015050,doi:10.1016/j.ica.2016.01.005,2016
ATC015051,doi:10.1016/j.ijbiomac.2022.06.206,2022
ATC015052,doi:10.1016/j.ejpb.2015.09.013,2015
ATC015053,doi:10.1016/j.inoche.2024.112291,2024
ATC015054,doi:10.1016/j.ijbiomac.2021.11.089,2022
ATC015055,doi:10.1016/j.micromeso.2021.111489,2021
ATC015056,doi:10.1016/j.colsurfb.2015.04.026,2015
ATC015057,doi:10.1016/j.limno.2016.09.007,2016
ATC015058,doi:10.1016/j.matlet.2016.08.037,2016
ATC015059,doi:10.1016/j.jhazmat.2012.08.059,2012
ATC015060,doi:10.1016/j.talanta.2019.02.041,2019
ATC015061,doi:10.1016/j.jallcom.2021.160884,2021
ATC015062,doi:10.1016/j.bcab.2024.103180,2024
ATC015063,doi:10.1016/j.optmat.2023.114183,2023
ATC015064,doi:10.1016/j.mssp.2020.105574,2021
ATC015065,doi:10.1016/j.ifset.2016.10.010,2016
ATC015066,doi:10.1016/j.jece.2023.110919,2023
ATC015067,doi:10.1016/j.bcab.2023.102811,2023
ATC015068,doi:10.1016/j.envres.2016.05.004,2016
ATC015069,doi:10.1016/j.chemosphere.2018.12.060,2019
ATC015070,doi:10.1016/j.snb.2022.132320,2022
ATC015071,doi:10.1016/j.electacta.2019.06.018,2019
ATC015072,doi:10.1016/j.carbpol.2018.07.013,2018
ATC015073,doi:10.1016/j.msec.2018.04.044,2018
ATC015074,doi:10.1016/j.colsurfb.2024.113823,2024
ATC015075,doi:10.1016/j.ijbiomac.2023.126857,2023
ATC015076,doi:10.1016/j.algal.2021.102191,2021
ATC015077,doi:10.1016/j.colsurfa.2019.124081,2020
ATC015078,doi:10.1016/j.matlet.2015.01.050,2015
ATC015079,doi:10.1016/j.ijbiomac.2019.09.035,2019
ATC015080,doi:10.1016/j.cej.2019.122906,2020
ATC015081,doi:10.1016/j.cbpa.2011.09.002,2012
ATC015082,doi:10.1016/j.diamond.2023.110249,2023
ATC015083,doi:10.1016/j.nano.2014.02.012,2014
ATC015084,doi:10.1016/j.ijfoodmicro.2012.11.020,2013
ATC015085,doi:10.1016/j.cbpc.2022.109490,2023
ATC015086,doi:10.1016/j.colsurfa.2023.132890,2024
ATC015087,doi:10.1016/j.jddst.2017.06.006,2017
ATC015088,doi:10.1016/j.inoche.2022.110287,2023
ATC015089,doi:10.1016/j.ijbiomac.2019.12.049,2020
ATC015090,doi:10.1016/j.ijbiomac.2023.123363,2023
ATC015091,doi:10.1016/j.jhazmat.2010.10.115,2011
ATC015092,doi:10.1016/j.ceramint.2018.07.290,2019
ATC015093,doi:10.1016/S0378-1135(01)00413-8,2002
ATC015094,doi:10.1016/j.mtcomm.2023.105633,2023
ATC015095,doi:10.1016/j.pedobi.2017.10.001,2018
ATC015096,doi:10.1016/j.ijbiomac.2018.11.057,2019
ATC015097,doi:10.1016/j.sjbs.2022.103296,2022
ATC015098,doi:10.1016/j.chemosphere.2019.124576,2020
ATC015099,doi:10.1016/j.colsurfb.2010.10.027,2011
ATC015100,doi:10.1016/j.materresbull.2011.07.013,2011
ATC015101,doi:10.1016/j.colsurfb.2018.08.039,2018
ATC015102,doi:10.1016/j.seppur.2018.08.077,2019
ATC015103,doi:10.1016/j.carbpol.2017.11.038,2018
ATC015104,doi:10.1016/j.jhazmat.2023.132875,2024
ATC015105,doi:10.1016/j.matchemphys.2017.05.059,2017
