,article_doi,Publication Year
ATC000409,doi:10.1016/j.seppur.2021.120162,2022
ATC000410,doi:10.1016/j.envint.2020.105924,2020
ATC000411,doi:10.1016/j.mtcomm.2021.102743,2021
ATC000412,doi:10.1016/j.ijpharm.2024.123947,2024
ATC000413,doi:10.1016/j.cbpa.2016.06.030,2016
ATC000414,doi:10.1016/j.mssp.2018.12.034,2019
ATC000415,doi:10.1016/j.procbio.2004.06.017,2005
ATC000416,doi:10.1016/j.jksus.2019.12.021,2020
ATC000417,doi:10.1016/j.jallcom.2019.06.373,2019
ATC000418,doi:10.1016/j.saa.2018.06.021,2018
ATC000419,doi:10.1016/j.aquaeng.2005.03.005,2006
ATC000420,doi:10.1016/j.scitotenv.2023.167291,2023
ATC000421,doi:10.1016/j.ijbiomac.2024.129385,2024
ATC000422,doi:10.1016/j.matdes.2018.05.002,2018
ATC000423,doi:10.1016/j.jhazmat.2014.05.081,2014
ATC000424,doi:10.1016/j.msec.2019.109770,2019
ATC000425,doi:10.1016/j.snb.2018.09.092,2019
ATC000426,doi:10.1016/j.ejmech.2013.09.029,2014
ATC000427,doi:10.1016/j.chemosphere.2021.131707,2022
ATC000428,doi:10.1016/j.saa.2020.119308,2021
ATC000429,doi:10.1016/j.ijbiomac.2022.08.050,2022
ATC000430,doi:10.1016/j.arabjc.2022.103936,2022
ATC000431,doi:10.1016/j.matchemphys.2011.04.040,2011
ATC000432,doi:10.1016/j.compositesb.2019.05.054,2019
ATC000433,doi:10.1016/j.molstruc.2022.133005,2022
ATC000434,doi:10.1016/j.ijbiomac.2017.07.043,2017
ATC000435,doi:10.1016/j.molliq.2018.05.105,2018
ATC000436,doi:10.1016/j.ceramint.2020.12.187,2021
ATC000437,doi:10.1016/j.fpsl.2023.101157,2023
ATC000438,doi:10.1016/j.jddst.2022.103900,2022
ATC000439,doi:10.1016/j.matchemphys.2020.123037,2020
ATC000440,doi:10.1016/j.msec.2019.110338,2020
ATC000441,doi:10.1016/j.jcis.2019.03.061,2019
ATC000442,doi:10.1016/j.watres.2010.09.034,2011
ATC000443,doi:10.1016/j.poly.2020.114882,2021
ATC000444,doi:10.1016/j.cej.2024.151788,2024
ATC000445,doi:10.1016/j.apsusc.2021.151496,2022
ATC000446,doi:10.1016/S0378-1119(98)00532-0,1998
ATC000447,doi:10.1016/S0016-6480(02)00577-4,2003
ATC000448,doi:10.1016/j.ijbiomac.2023.128032,2024
ATC000449,doi:10.1016/j.materresbull.2016.12.044,2017
ATC000450,doi:10.1016/j.pmpp.2022.101856,2022
ATC000451,doi:10.1016/j.catcom.2013.01.002,2013
ATC000452,doi:10.1016/j.nano.2020.102324,2021
ATC000453,doi:10.1016/j.surfin.2022.102166,2022
ATC000454,doi:10.1016/j.ceramint.2022.09.211,2023
ATC000455,doi:10.1016/j.indcrop.2022.115192,2022
ATC000456,doi:10.1016/j.apsadv.2022.100338,2022
ATC000457,doi:10.1016/j.bej.2006.04.002,2006
